128,975,512,512,4357,4357,4357,2937,9662,1537,10562,4357,4357,4357
129,976,513,513,4357,4357,4358,2938,9663,1538,10563,,,
130,977,514,514,4357,4357,4359,2939,9664,1539,10564,,,
131,978,515,515,4357,4357,4360,2940,9665,1540,10565,,,
132,979,516,516,4357,4357,4361,2941,9666,1541,10566,,,
133,980,517,517,4357,4357,4362,2942,9667,1542,10567,,,
134,981,518,518,4357,4357,4363,2943,9668,1543,10568,,,
135,982,519,519,4357,4357,4364,2944,9669,1544,10569,,,
136,983,520,520,4357,4357,4365,2945,9670,1545,10570,,,
137,984,521,521,4357,4357,4366,2946,9671,1546,10571,,,
138,985,522,522,4357,4357,4367,2947,9672,1547,10572,,,
139,986,523,523,4357,4357,4368,2948,9673,1548,10573,,,
140,987,524,524,4357,4357,4369,2949,9674,1549,10574,,,
141,988,525,525,4357,4357,4370,2950,9675,1550,10575,,,
142,989,526,526,4357,4357,4371,2951,9676,1551,10576,,,
143,990,527,527,4357,4357,4372,2952,9677,1552,10577,,,
144,991,528,528,4357,4357,4373,2953,9678,1553,10578,,,
145,992,529,529,4357,4357,4374,2954,9679,1554,10579,,,
146,993,530,530,4357,4357,4375,2955,9680,1555,10580,,,
147,994,531,531,4357,4357,4376,2956,9681,1556,10581,,,
148,995,532,532,4357,4357,4377,2957,9682,1557,10582,,,
149,996,533,533,4357,4357,4378,2958,9683,1558,10583,,,
150,997,534,534,4357,4357,4379,2959,9684,1559,10584,,,
151,998,535,535,4357,4357,4380,2960,9685,1560,10585,,,
152,999,536,536,4357,4357,4381,2961,9686,1561,10586,,,
153,1000,537,537,4357,4357,4382,2962,9687,1562,10587,,,
154,1001,538,538,4357,4357,4383,2963,9688,1563,10588,,,
155,1002,539,539,4357,4357,4384,2964,9689,1564,10589,,,
156,1003,540,540,4357,4357,4385,2965,9690,1565,10590,,,
157,1004,541,541,4357,4357,4386,2966,9691,1566,10591,,,
158,1005,542,542,4357,4357,4387,2967,9692,1567,10592,,,
159,1006,543,543,4357,4357,4388,2968,9693,1568,10593,,,
160,1007,544,544,4357,4357,4389,2969,9694,1569,10594,,,
161,1008,545,545,4357,4357,4390,2970,9695,1570,10595,,,
162,1009,546,546,4357,4357,4391,2971,9696,1571,10596,,,
163,1010,547,547,4357,4357,4392,2972,9697,1572,10597,,,
164,1011,548,548,4357,4357,4393,2973,9698,1573,10598,,,
165,1012,549,549,4357,4357,4394,2974,9699,1574,10599,,,
166,1013,550,550,4357,4357,4395,2975,9700,1575,10600,,,
167,1014,551,551,4357,4357,4396,2976,9701,1576,10601,,,
168,1015,552,552,4357,4357,4397,2977,9702,1577,10602,,,
169,1016,553,553,4357,4357,4398,2978,9703,1578,10603,,,
170,1017,554,554,4357,4357,4399,2979,9704,1579,10604,,,
171,1018,555,555,4357,4357,4400,2980,9705,1580,10605,,,
172,1019,556,556,4357,4357,4401,2981,9706,1581,10606,,,
173,1020,557,557,4357,4357,4402,2982,9707,1582,10607,,,
174,1021,558,558,4357,4357,4403,2983,9708,1583,10608,,,
175,1022,559,559,4357,4357,4404,2984,9709,1584,10609,,,
176,1023,560,560,4357,4357,4405,2985,9710,1585,10610,,,
177,1024,561,561,4357,4357,4406,2986,9711,1586,10611,,,
178,0,562,562,4357,4357,4407,2987,9712,1587,10612,,,
179,1,563,563,4357,4357,4408,2988,9713,1588,10613,,,
180,2,564,564,4357,4357,4409,2989,9714,1589,10614,,,
181,3,565,565,4357,4357,4410,2990,9715,1590,10615,,,
182,4,566,566,4357,4357,4411,2991,9716,1591,10616,,,
183,5,567,567,4357,4357,4412,2992,9717,1592,10617,,,
184,6,568,568,4357,4357,4413,2993,9718,1593,10618,,,
185,7,569,569,4357,4357,4414,2994,9719,1594,10619,,,
186,8,570,570,4357,4357,4415,2995,9720,1595,10620,,,
187,9,571,571,4357,4357,4416,2996,9721,1596,10621,,,
188,10,572,572,4357,4357,4417,2997,9722,1597,10622,,,
189,11,573,573,4357,4357,4418,2998,9723,1598,10623,,,
190,12,574,574,4357,4357,4419,2999,9724,1599,10624,,,
